ym,Nivel general,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Prendas de vestir y calzado,"Vivienda, agua, electricidad y otros combustibles",Equipamiento y manteni-miento del hogar,Salud,Transporte,Comunicaciones,Recreación y cultura,Educación,Restaurantes y hoteles,Otros bienes y servicios,Estacional,Núcleo,Regulados,Bienes,Servicios
2019-01,38.3187437557369,36.3683387567138,39.9739202099957,31.0376207800618,55.0229623208435,36.5578571446543,36.2472704416912,38.7482738670553,48.6806813469866,37.811320505635,41.6371731733862,38.3385537495401,43.8328038011206,33.0753870934179,36.6627906347628,49.3353004208589,35.1451481612259,47.3425325510295
2019-02,39.7616828735158,38.4467621896763,40.91584189547,31.33667194363,58.5441055196704,37.576097189839,37.3970504075064,39.5929544803275,49.2099667820079,38.6455357738244,42.3345592913409,39.7327443198277,45.1902896544468,33.7126847345771,38.0763240486773,51.4169877922048,36.4425624472721,49.1513451471297
2019-03,41.6223468031222,40.7379580348259,42.5743536560953,33.3950120582221,60.1924159161207,39.003379361781,38.6115288979928,41.2441508979565,51.3688020176942,39.4117856299623,49.9164885472182,41.4527633494154,46.5835952037213,35.3194817936552,39.8200114764499,53.9385942175551,38.2645911211599,51.1778259854722
2019-04,43.0561109298721,41.7766765510062,43.0139852956896,35.4666272446433,61.9634755863992,40.79400977468,39.9642144496915,43.042688658129,53.1636025519673,40.6630462928579,50.6878456366782,43.144398364645,47.9672950853363,35.8867740843761,41.3200568989364,55.7112692135067,39.7048513035308,52.6389753533612
2019-05,44.3732273733191,42.7940810777101,43.9458251388777,36.6563552729632,64.4279485883502,42.1056122463473,41.9929399330817,44.5457169229772,54.2097263032815,41.6380885503651,52.3531218988624,44.1009004681274,49.3045790908513,36.1086601751962,42.6330143838236,57.7842832610001,40.9460440512808,54.2023266885635
2019-06,45.5792940905449,43.8857944497574,45.1399876997144,37.3524517666927,66.1710400696552,43.5492035584224,43.4841078588637,45.2426239974456,58.0720106669086,43.1804635789218,53.2710387417881,45.217868027015,50.3479112378487,36.9993114615689,43.797574631657,59.3945631545361,42.0613634425691,55.6863546014229
2019-07,46.5810656881402,44.8772624429878,45.5259956274388,37.4809584847474,67.6190294896947,44.6478979863453,45.2707599119311,45.7576328196732,58.1977222139266,44.8504501000086,54.3851073458157,46.5545722614744,51.7026559054401,38.3461427057762,44.7382062337111,60.4659315613642,42.9056147027862,57.1011504626617
2019-08,48.422874404905,46.9033679616729,47.5230040252081,38.6486820758234,69.0562365607866,47.3587317173094,47.6218400588104,47.566806366082,58.877374065755,46.7201835646947,55.7519259897226,48.2294685443102,53.9929281045707,39.8241020374047,46.8131019720661,61.7458407393732,45.0087510681552,58.3863569012941
2019-09,51.2728812548317,49.5861068222131,50.2187766320572,42.3390917030771,70.4308683403871,50.8687133147935,51.5933016389,49.8077627678615,62.8360583174364,50.2557750043753,56.3168840507653,50.7607828063809,58.4328657992513,43.2245297807278,49.8268191048918,63.8168153231184,48.2145721327492,60.494117408786
2019-10,52.9615444164911,50.8016231403934,53.320233805682,44.3434666393094,71.7569324652296,55.0088501768239,54.0089518311106,51.5536101665378,63.1284132826755,51.256791833277,57.2095640190698,52.0504923422212,60.678818323138,44.4496532876582,51.7225639696669,65.1088716368587,49.8946830960861,62.2529264279747
