ym,Nivel general,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Prendas de vestir y calzado,"Vivienda, agua, electricidad y otros combustibles",Equipamiento y manteni-miento del hogar,Salud,Transporte,Comunicaciones,Recreación y cultura,Educación,Restaurantes y hoteles,Otros bienes y servicios,Estacional,Núcleo,Regulados,Bienes,Servicios
1984-04,5.59659185077863e-06,5.46371225691594e-06,,1.42259560023361e-05,5.05990390811872e-06,6.30203307555816e-06,4.34932252301398e-06,7.78313655045039e-06,1.01955599539277e-05,,,,6.25201420424556e-06,,,,,
1984-05,6.55210753261891e-06,6.25003501215194e-06,,1.76665388433813e-05,5.91126507693992e-06,7.8493480385834e-06,5.2152135315927e-06,9.38856095490073e-06,1.25921232858226e-05,,,,7.26697498769142e-06,,,,,
1984-06,7.72541330566509e-06,7.23040426683842e-06,,2.08170173786804e-05,7.05992697138121e-06,9.47295077041799e-06,6.29136870477849e-06,1.14746367387988e-05,1.68737998430623e-05,,,,8.70919279720602e-06,,,,,
1984-07,9.13798143243056e-06,8.33241461073269e-06,,2.38617569614179e-05,8.4595570108265e-06,1.11313805271438e-05,7.81950905070232e-06,1.46025304872871e-05,2.04677209339424e-05,,,,1.02072965468392e-05,,,,,
1984-08,1.12253920953272e-05,1.04379639405911e-05,,2.71044181733092e-05,1.02839023725862e-05,1.3519519376829e-05,9.69864154541909e-06,1.8172037939735e-05,2.50810456632e-05,,,,1.2168712767779e-05,,,,,
1984-09,1.43173978972372e-05,1.40480976952933e-05,,3.20361913709935e-05,1.22202181375016e-05,1.64665490545308e-05,1.18294287883269e-05,2.16268722204365e-05,2.96385003112774e-05,,,,1.50405289809749e-05,,,,,
1984-10,1.7084252295375e-05,1.64519573153518e-05,,4.98925180779471e-05,1.42356853943027e-05,1.92162255911823e-05,1.47482927426755e-05,2.52573760408348e-05,3.45688794260549e-05,,,,1.74364133170309e-05,,,,,
1984-11,1.96425190005267e-05,1.8419936365749e-05,,5.57054492136452e-05,1.69982655135388e-05,2.23539746909076e-05,1.74121907021461e-05,2.97101109012022e-05,4.04878612117723e-05,,,,2.09716497226035e-05,,,,,
1984-12,2.35075262529143e-05,2.19837306578959e-05,,6.1700034447334e-05,2.05349858339026e-05,2.59013559405441e-05,2.15247590870592e-05,3.58414658075601e-05,4.81509630753657e-05,,,,2.60374397785234e-05,,,,,
1985-01,2.94169996431719e-05,2.81077802562255e-05,,6.72391288084493e-05,2.58690241773334e-05,3.19745257096741e-05,2.74171225660873e-05,4.49421239057357e-05,5.63101222297176e-05,,,,3.2287651210507e-05,,,,,
1985-02,3.55059197987189e-05,3.3625072516721e-05,,7.63489462599167e-05,3.19308701412757e-05,3.93545381271041e-05,3.57283517497684e-05,5.44575573059729e-05,6.53908244339532e-05,,,,3.89759363021308e-05,,,,,
1985-03,4.49077033134553e-05,4.20530622689741e-05,,9.03661356123234e-05,4.26452794087534e-05,5.02504216287929e-05,4.51985172738034e-05,6.84867219345278e-05,8.0206790838966e-05,,,,4.90173778008759e-05,,,,,
1985-04,5.81438194198458e-05,5.37537765641984e-05,,0.000123470561529709,5.64099169001256e-05,6.52592109271617e-05,5.80130419514311e-05,9.00062405473721e-05,0.000101120771354737,,,,6.54586608293419e-05,,,,,
1985-05,7.27296205984993e-05,6.44118529519273e-05,,0.000152996130591161,7.36108874538602e-05,8.63710217302813e-05,7.53474183564393e-05,0.000119308895710666,0.000132240700770134,,,,8.54333774911185e-05,,,,,
1985-06,9.4938074969361e-05,8.2643535251045e-05,,0.000178237916446269,0.000104306222112039,0.000108875913529051,9.94698504692349e-05,0.000160957215747089,0.000208295188942563,,,,0.000116927808906392,,,,,
1985-07,0.000100812272499775,8.60031462863077e-05,,0.000181518535230875,0.000107723249932478,0.000115675475531627,0.000109949946232721,0.00017154618522325,0.000219935934995823,,,,0.000134540893905089,,,,,
1985-08,0.000103910413233832,9.08977520187156e-05,,0.000180515370809136,0.000107356450335934,0.000117632422644564,0.000115992971435995,0.000171912163430952,0.000219935934995823,,,,0.000136235499831268,,,,,
1985-09,0.000105980952833325,9.34898657054051e-05,,0.000182060786269652,0.0001071633979167,0.000119489863972096,0.000121290966134756,0.000173400474808938,0.000219935934995823,,,,0.0001387413532753,,,,,
1985-10,0.000108036155102452,9.45469846949488e-05,,0.0002312429554868,0.000106700072110539,0.000120551259016401,0.000126340617332012,0.000173595663186378,0.000219935934995823,,,,0.000139192046340774,,,,,
1985-11,0.000110597489273677,9.80514065506969e-05,,0.000234333786407834,0.000106873819287849,0.000121314136704495,0.000132714767203959,0.0001739372428469,0.000219935934995823,,,,0.000141373400777664,,,,,
1985-12,0.000114109737927633,0.000102656390642134,,0.000236502790562945,0.000106951040255542,0.000122159935880425,0.000139949841214454,0.000174181228318701,0.000219935934995823,,,,0.000144708529462167,,,,,
1986-01,0.000117560637260121,0.000106638688205484,,0.00023688236629009,0.000107298534610164,0.000123768612744449,0.000146721340688808,0.000174498409432042,0.000219748149027887,,,,0.000147917464088337,,,,,
1986-02,0.000119554490207781,0.000108926699169154,,0.000236014764628045,0.000107684639448632,0.000124630996217946,0.000156257731146578,0.000174669199262303,0.000219935934995823,,,,0.000149630097737135,,,,,
1986-03,0.000125106603800497,0.000115747288814019,,0.000238536231958362,0.000109653774124816,0.000125708975559818,0.000164204723194719,0.000183403879152777,0.000219935934995823,,,,0.000153019309589494,,,,,
1986-04,0.000131026813322012,0.000121467316223194,,0.000273592761615348,0.000114769663234513,0.000129556532595422,0.00016973450516155,0.000187234451060052,0.000227602918082397,,,,0.000159419151119215,,,,,
1986-05,0.000136302854968128,0.00012598541382234,,0.000280181111736499,0.000120522625327681,0.000135079103685319,0.000179767582622329,0.000192382544515052,0.000233331117149107,,,,0.000162826390694193,,,,,
1986-06,0.000142499136436241,0.000131618554739224,,0.000289155366428271,0.000126661692259317,0.000139739291301719,0.000188890067244257,0.000203166702368655,0.000242090240577902,,,,0.000171804196558421,,,,,
1986-07,0.000152146317236843,0.000139583149865923,,0.000296855331178917,0.00013683555475294,0.000145958402889441,0.000198873476004735,0.000216293120751546,0.000255951050557747,,,,0.000186857344945229,,,,,
1986-08,0.000165505131986167,0.000155222718478352,,0.00030238629177445,0.000147318301117337,0.000156738196308159,0.000216836989280221,0.000233054922664271,0.000271828092811235,,,,0.000196898786443975,,,,,
1986-09,0.000177468249672128,0.000167459232809372,,0.000313095749790312,0.000155638860386315,0.00016919300378117,0.000233409778947282,0.00025328131827657,0.000280248598704789,,,,0.000218207554579552,,,,,
1986-10,0.000188219718259127,0.000175554157674509,,0.000379928190319678,0.000166276048686099,0.000178513379013969,0.000248989194608325,0.000267798453848727,0.000291130006845595,,,,0.000231043293084231,,,,,
1986-11,0.000198188982997428,0.000184952379924014,,0.000392318626555751,0.000175021323277392,0.000185130513743305,0.000262946099392874,0.000280656488212638,0.000302672631913819,,,,0.000243139894961535,,,,,
1986-12,0.000207575429181798,0.000190947547892112,,0.000402973859467735,0.000184731859964853,0.000193090976575589,0.000278922864656324,0.000298516224748467,0.000317533013142991,,,,0.000258265154238819,,,,,
1987-01,0.000223311530137948,0.000206065797550792,,0.000411839663951753,0.000198843991810847,0.000205976975785349,0.000301820135495031,0.000316937127869439,0.000337370232674338,,,,0.000285378849057692,,,,,
1987-02,0.000237728620682568,0.000219678014676425,,0.000419431178494642,0.000210813241803344,0.000219078570863483,0.000324171050630429,0.000339139805803326,0.000357740697690604,,,,0.000310978215176576,,,,,
1987-03,0.000257360403551838,0.000240530772826329,,0.000438681090371255,0.000218535338572697,0.000235165339503724,0.000352151085133259,0.000353290963167782,0.00036218417408056,,,,0.00034414922479541,,,,,
1987-04,0.000265949308557143,0.000247626503030116,,0.000492635068729647,0.000220465862765036,0.000244784232092733,0.000370197379575913,0.00035548683241399,0.00036218417408056,,,,0.000357129185081041,,,,,
1987-05,0.000276992186421108,0.00025863212538701,,0.000516222988916481,0.000227608802276688,0.000255066496584434,0.000390892671367948,0.000373297771855459,0.000369307548713574,,,,0.000363258610771478,,,,,
1987-06,0.000299231315452703,0.00028281553240808,,0.00054143766221965,0.000250582040165514,0.000274470124738126,0.000415395896849717,0.000405259868661384,0.0004201759456302,,,,0.00037858217499757,,,,,
1987-07,0.000329445856274939,0.000311343264043713,,0.000561229825135042,0.000282049584500628,0.000296029711575562,0.000455627544093432,0.000446249427923945,0.000451485930093979,,,,0.00040237876885456,,,,,
1987-08,0.00037469098085646,0.000363040726957018,,0.000588613502593322,0.000316219862705016,0.000327042348026335,0.000501984997707589,0.000507489781345984,0.000486183279847254,,,,0.000445284748687618,,,,,
1987-09,0.000418402372401319,0.000409959432794304,,0.000637687221602715,0.000356374765905653,0.000368668934920153,0.000539567647601923,0.00056019064325499,0.000518127391547694,,,,0.000496483480925385,,,,,
1987-10,0.000500303716559053,0.000462236138989549,,0.000903661356123233,0.000459078652938052,0.000452419637634808,0.000618540881080327,0.000746107572767314,0.000677100996309044,,,,0.000670631281424266,,,,,
1987-11,0.000551683773287222,0.000495687438521688,,0.00100940030868491,0.000516029116612032,0.000534843596544083,0.000682116817465457,0.000814911475815185,0.00107162363043187,,,,0.000795563399173465,,,,,
1987-12,0.000570395316334498,0.000515092088466739,,0.00105250926626774,0.000524137318219853,0.000556900712308536,0.000715725971335722,0.000821987054497411,0.000758647017205771,,,,0.000820621933613778,,,,,
1988-01,0.000622235492973664,0.000571568308456063,,0.00110998787637819,0.000553867390781863,0.000600517414910426,0.00076870591832333,0.000888107117355469,0.000866826410210105,,,,0.000873623438113438,,,,,
1988-02,0.000687112400424451,0.000631085555675584,,0.00120406843160614,0.000615258060098222,0.000675810125865776,0.000851487085491466,0.000998876521553103,0.000906099350041311,,,,0.000954748189898635,,,,,
1988-03,0.000788492154147792,0.000722026750940444,,0.00139466967173655,0.000691706818114821,0.000788085820396118,0.000974003212900311,0.00122041532994837,0.00105612379510408,,,,0.00106291452561223,,,,,
1988-04,0.000924380901196024,0.000837440974867344,,0.00179213968316069,0.000850395906725027,0.000939666300160858,0.00108857234826102,0.00146684065646734,0.00134802150854379,,,,0.00122822874202783,,,,,
1988-05,0.00106962541976789,0.000938084495104732,,0.00201798724081165,0.00103012770903173,0.0011239178461331,0.00124651881521782,0.00183501473341497,0.00186295295129864,,,,0.00147899436365718,,,,,
1988-06,0.0012618021692616,0.00111011974984144,,0.00222322925898906,0.00120734982988839,0.00130435500366487,0.0014084387781987,0.00226662503303086,0.00247854236000476,,,,0.00174364133170309,,,,,
1988-07,0.00158541983999723,0.0014379714474205,,0.00247754499617585,0.00149461182970832,0.00159408268216487,0.00168492787654028,0.00275093619455575,0.00295448899170235,,,,0.00211338992261739,,,,,
1988-08,0.00202330062196415,0.00186125347569946,,0.00285956085299482,0.00193419218830376,0.00208315361742333,0.00213310511558858,0.00368857236268682,0.00377410479522417,,,,0.00255633106736455,,,,,
1988-09,0.00225995562952105,0.00209541257242443,,0.00315969680295835,0.00209790063981405,0.00230571489077593,0.00241058758793618,0.00388546863843019,0.00377455741511673,,,,0.0030111705090402,,,,,
1988-10,0.00246317525687873,0.00231885566843348,,0.00434776882892054,0.00219114495830399,0.00245331513912453,0.00260644782945599,0.00405186673019844,0.00393038392203991,,,,0.00312258183482519,,,,,
1988-11,0.00260381857634061,0.00244469627143533,,0.00462757036492989,0.00231006524855203,0.00259046728000576,0.00287813562010182,0.00430097589690722,0.00409477435607668,,,,0.00328302856613369,,,,,
1988-12,0.0027820383552007,0.00260775325530195,,0.00488486848282997,0.00239462220817645,0.00273508235479225,0.00315710815345844,0.00458082723306291,0.00426340302144807,,,,0.00351792979185837,,,,,
1989-01,0.00303019636053257,0.00286290992099731,,0.0050949907603564,0.00254983635324045,0.00293276718179397,0.00351174267360675,0.00498364724700629,0.00443611543352376,,,,0.00371208836446427,,,,,
